Nome,Squadra,Pv,Mv,Fm,Gf,Gs,Rp,Rc,R+,R-,Ass,Amm,Esp,Au
Tavsan,Verona,0,0,0,0,0,0,0,0,0,0,0,0,0
Ekong,Empoli,8,5.94,5.94,0,0,0,0,0,0,0,1,0,0
Haj Mohamed,Parma,11,5.91,6.05,1,0,0,0,0,0,0,4,0,0
N'Dri,Lecce,7,5.86,5.86,0,0,0,0,0,0,0,0,0,0
Ganvoula,Monza,7,5.5,5.5,0,0,0,0,0,0,0,0,0,0
Lapadula,Cagliari,10,5.75,5.7,0,0,0,0,0,0,0,1,0,0
Shpendi S.,Empoli,0,0,0,0,0,0,0,0,0,0,0,0,0
Mihaila,Parma,20,5.78,5.88,0,0,0,0,0,0,3,2,0,0
Brenner,Udinese,6,5.92,6.75,1,0,0,0,0,0,2,0,0,0
Success,Udinese,0,0,0,0,0,0,0,0,0,0,0,0,0
Sanchez,Udinese,9,5.83,5.83,0,0,0,0,0,0,0,0,0,0
Maric,Venezia,8,5.75,5.75,0,0,0,0,0,0,0,0,0,0
Mutandwa,Cagliari,5,5.9,5.9,0,0,0,0,0,0,0,0,0,0
Gabrielloni,Como,4,6.5,7.38,1,0,0,0,0,0,1,1,0,0
Banda,Lecce,13,5.77,5.81,0,0,0,0,0,0,1,1,0,0
Burnete,Lecce,1,5.5,5.5,0,0,0,0,0,0,0,0,0,0
Camarda,Milan,6,5.92,5.92,0,0,0,0,0,0,0,0,0,0
Ngonge,Napoli,6,5.75,5.67,0,0,0,0,0,0,0,2,0,0
Benedyczak,Parma,6,5.67,5.67,0,0,0,0,0,0,0,0,0,0
Partipilo,Parma,0,0,0,0,0,0,0,0,0,0,0,0,0
Solbakken,Empoli,18,5.67,5.61,0,0,0,0,0,0,0,2,0,0
Cerri,Como,3,5.17,5.17,0,0,0,0,0,0,0,0,0,0
Vlahovic V.,Atalanta,2,6,6,0,0,0,0,0,0,0,0,0,0
Lambourde,Verona,3,6.17,7.17,1,0,0,0,0,0,0,1,0,0
Balotelli,Genoa,3,6,5.83,0,0,0,0,0,0,0,2,0,0
Jasim,Como,0,0,0,0,0,0,0,0,0,0,0,0,0
Gioacchini,Como,0,0,0,0,0,0,0,0,0,0,0,0,0
Ankeye,Genoa,1,6,6,0,0,0,0,0,0,0,0,0,0
Milik,Juventus,0,0,0,0,0,0,0,0,0,0,0,0,0
Petagna,Monza,7,5.36,5.29,0,0,0,0,0,0,0,1,0,0
Joao Costa,Roma,0,0,0,0,0,0,0,0,0,0,0,0,0
Pizarro,Udinese,0,0,0,0,0,0,0,0,0,0,0,0,0
Cruz,Verona,0,0,0,0,0,0,0,0,0,0,0,0,0
Raimondo,Venezia,1,6,6,0,0,0,0,0,0,0,0,0,0
Njie,Torino,9,6,5.94,0,0,0,0,0,0,0,1,0,0
Kowalski,Parma,0,0,0,0,0,0,0,0,0,0,0,0,0
Sansone,Lecce,0,0,0,0,0,0,0,0,0,0,0,0,0
Pedrola,Bologna,0,0,0,0,0,0,0,0,0,0,0,0,0
Salama,Torino,0,0,0,0,0,0,0,0,0,0,0,0,0
Azon,Como,0,0,0,0,0,0,0,0,0,0,0,0,0
